        Nckt,       Ntube,        Nmod,      tRi(C),      tRo(C),    pRi(kPa),    pRo(kPa),  hRi(kJ/kg),  hRo(kJ/kg),         xRi,         xRo,      tAi(C),      tAo(C),        rhAi,        rhAo,  hci(W/m2K),          EF,  hco(W/m2K),   mu(uPa-s),     k(W/mK),  cp(kJ/kgK),  rho(kg/m3),       ReVap,       ReLiq,     Qmod(W),  MassLiq(g),  MassVap(g),  MassTot(g),  mdot(kg/h),
  4,  2,  1,    43.176,    43.171,  1656.179,  1655.958,   341.103,   330.229,     0.536,     0.469,    26.576,    34.910,     0.552,     0.343,  8663.302,     6.828,    67.085,     0.000,     0.000,     0.000,   135.046, 28344.777,  2757.095,    42.325,     1.574,     0.313,     1.887,    13.684,
  4,  2,  2,    43.171,    43.166,  1655.958,  1655.768,   330.229,   319.482,     0.469,     0.403,    26.650,    34.887,     0.551,     0.344,  7958.058,     6.828,    67.088,     0.000,     0.000,     0.000,   152.912, 24604.252,  3139.387,    41.833,     1.742,     0.302,     2.044,    13.684,
  4,  2,  3,    43.166,    43.162,  1655.768,  1655.608,   319.482,   308.867,     0.403,     0.338,    26.700,    34.835,     0.550,     0.346,  7185.529,     6.828,    67.089,     0.000,     0.000,     0.000,   175.939, 20902.990,  3517.617,    41.317,     1.935,     0.289,     2.225,    13.684,
  4,  2,  4,    43.162,    43.158,  1655.608,  1655.475,   308.867,   298.404,     0.338,     0.273,    26.730,    34.750,     0.549,     0.347,  6346.583,     6.828,    67.090,     0.000,     0.000,     0.000,   206.701, 17250.746,  3890.814,    40.728,     2.163,     0.275,     2.438,    13.684,
  4,  2,  5,    43.158,    43.156,  1655.475,  1655.367,   298.404,   288.121,     0.273,     0.210,    26.728,    34.609,     0.549,     0.350,  5436.525,     6.828,    67.090,     0.000,     0.000,     0.000,   249.776, 13655.854,  4258.141,    40.025,     2.440,     0.257,     2.697,    13.684,
  4,  2,  6,    43.156,    43.153,  1655.367,  1655.280,   288.121,   277.442,     0.210,     0.145,    25.609,    33.797,     0.574,     0.359,  4412.082,     6.828,    67.055,     0.000,     0.000,     0.000,   317.328, 10023.701,  4629.250,    41.566,     2.805,     0.233,     3.038,    13.684,
  4,  2,  7,    43.153,    43.152,  1655.280,  1655.209,   277.442,   265.879,     0.145,     0.074,    23.054,    31.926,     0.649,     0.386,  3162.830,     6.828,    66.986,     0.000,     0.000,     0.000,   448.941,  6171.758,  5022.816,    45.008,     3.359,     0.198,     3.556,    13.684,
  4,  2,  8,    43.152,    43.151,  1655.209,  1655.174,   265.879,   255.011,     0.074,     0.007,    23.576,    31.914,     0.631,     0.388,  2657.405,     6.828,    66.998,     0.000,     0.000,     0.000,   774.752,  2281.486,  5420.368,    42.300,     4.285,     0.138,     4.422,    13.684,
  4,  2,  9,    43.151,    40.423,  1655.174,  1655.122,   255.011,   250.182,     0.007,     0.000,    24.280,    27.984,     0.610,     0.490,   360.815,     1.000,    67.017,    69.524,     0.038,     0.670,  1069.357,     0.000,  5770.718,    18.796,     4.861,     0.000,     4.861,    13.684,
  4,  2, 10,    40.423,    38.018,  1655.122,  1655.071,   250.182,   246.980,     0.000,     0.000,    25.230,    27.686,     0.583,     0.505,   360.813,     1.000,    67.043,   141.214,     0.077,     1.330,  1133.172,     0.000,  5770.626,    12.465,     7.605,     0.000,     7.605,    13.684,
  4,  3,  1,    38.018,    36.234,  1655.071,  1655.024,   246.980,   244.635,     0.000,     0.000,    26.894,    28.692,     0.536,     0.483,   360.812,     1.000,    67.085,   144.999,     0.078,     1.316,  1142.813,     0.000,  5770.539,     9.127,     6.422,     0.000,     6.422,    13.684,
  4,  3,  2,    36.234,    34.680,  1655.024,  1654.976,   244.635,   242.609,     0.000,     0.000,    26.623,    28.176,     0.544,     0.497,   360.810,     1.000,    67.078,   148.039,     0.079,     1.305,  1150.298,     0.000,  5770.453,     7.886,     6.422,     0.000,     6.422,    13.684,
  4,  3,  3,    34.680,    33.294,  1654.976,  1654.927,   242.609,   240.812,     0.000,     0.000,    26.158,    27.536,     0.556,     0.513,   360.808,     1.000,    67.066,   150.736,     0.080,     1.296,  1156.777,     0.000,  5770.367,     6.992,     6.422,     0.000,     6.422,    13.684,
  4,  3,  4,    33.294,    31.954,  1654.927,  1654.879,   240.812,   239.084,     0.000,     0.000,    25.095,    26.421,     0.584,     0.540,   360.807,     1.000,    67.036,   153.250,     0.081,     1.288,  1162.704,     0.000,  5770.281,     6.726,     6.422,     0.000,     6.422,    13.684,
  4,  3,  5,    31.954,    30.444,  1654.879,  1654.831,   239.084,   237.154,     0.000,     0.000,    22.794,    24.275,     0.657,     0.601,   360.805,     1.000,    66.978,   155.900,     0.081,     1.280,  1168.801,     0.000,  5770.195,     7.513,     6.422,     0.000,     6.422,    13.684,
